arm,impostor_id,surface_seed,frac,rotation_deg,degradation,degradation_param,boundaries_spanned,band_first,band_last,top_sheet,top_aggregate,verdict_001,aggregate_001,coverage_001,renormalised_001,agr_cascade_ratio,agr_duty,agr_phase_duty_identity,agr_colour_pair
genuine,,0,0.05,0.0,none,,1,0,1,bar-cascade-001,0.6841,candidate,0.6841,1.0,0.6841,0.9167,0.997,0.8727,0.9112
genuine,,0,0.05,0.0,none,,1,2,3,bar-cascade-001,0.3847,not_recognised,0.3847,1.0,0.3847,0.6667,0.7467,0.0,0.9485
genuine,,0,0.05,0.0,none,,1,3,4,bar-cascade-001,0.1552,not_recognised,0.1552,0.4,0.3879,,0.0,,0.9698
genuine,,0,0.05,0.0,none,,1,1,2,bar-cascade-001,0.2717,not_recognised,0.2717,1.0,0.2717,0.6129,0.0,0.0,0.9322
genuine,,0,0.05,0.0,none,,1,3,4,bar-cascade-001,0.1567,not_recognised,0.1567,0.2,0.7836,,,,0.9794
genuine,,0,0.05,0.0,none,,1,2,3,bar-cascade-001,0.4048,candidate,0.4048,1.0,0.4048,0.6667,0.8702,0.0,0.9713
genuine,,0,0.05,0.0,none,,1,2,3,bar-cascade-001,0.3946,not_recognised,0.3946,1.0,0.3946,0.6667,0.8048,0.0,0.9624
genuine,,0,0.05,0.0,none,,1,0,1,bar-cascade-001,0.462,candidate,0.462,1.0,0.462,0.9167,0.6839,0.0,0.9609
genuine,,1,0.05,0.0,none,,1,2,3,bar-cascade-001,0.2887,not_recognised,0.2887,1.0,0.2887,0.6667,0.0,0.0,0.9709
genuine,,1,0.05,0.0,none,,2,0,2,bar-cascade-001,0.4258,candidate,0.4258,1.0,0.4258,0.9167,0.5126,0.0,0.9388
genuine,,1,0.05,0.0,none,,1,2,3,bar-cascade-001,0.2873,not_recognised,0.2873,1.0,0.2873,0.6667,0.0,0.0,0.9624
genuine,,1,0.05,0.0,none,,1,2,3,bar-cascade-001,0.4053,candidate,0.4053,1.0,0.4053,0.6667,0.885,0.0,0.9624
genuine,,1,0.05,0.0,none,,1,0,1,bar-cascade-001,0.3294,not_recognised,0.3294,1.0,0.3294,0.9167,0.0,0.0,0.9131
genuine,,1,0.05,0.0,none,,1,0,1,bar-cascade-001,0.3874,not_recognised,0.3874,1.0,0.3874,0.9167,0.2575,0.0,0.9815
genuine,,1,0.05,0.0,none,,1,3,4,bar-cascade-001,0.1896,not_recognised,0.1896,0.4,0.4739,,0.5158,,0.9698
genuine,,1,0.05,0.0,none,,1,1,2,bar-cascade-001,0.4689,candidate,0.4689,1.0,0.4689,0.8495,0.924,0.0,0.924
genuine,,2,0.05,0.0,none,,1,3,4,bar-cascade-001,0.1543,not_recognised,0.1543,0.4,0.3858,,0.0,,0.9646
genuine,,2,0.05,0.0,none,,1,2,3,bar-cascade-001,0.2851,not_recognised,0.2851,1.0,0.2851,0.6667,0.0,0.0,0.9485
genuine,,2,0.05,0.0,none,,1,0,1,bar-cascade-001,0.4568,candidate,0.4568,1.0,0.4568,0.9167,0.6839,0.0,0.9253
genuine,,2,0.05,0.0,none,,1,1,2,bar-cascade-001,0.3348,not_recognised,0.3348,1.0,0.3348,0.8495,0.1077,0.0,0.923
genuine,,2,0.05,0.0,none,,1,2,3,bar-cascade-001,0.3648,not_recognised,0.3648,1.0,0.3648,0.7778,0.4147,0.0,0.9624
genuine,,2,0.05,0.0,none,,1,1,2,bar-cascade-001,0.3222,not_recognised,0.3222,1.0,0.3222,0.8495,0.0,0.0,0.9521
genuine,,2,0.05,0.0,none,,1,1,2,bar-cascade-001,0.487,candidate,0.487,1.0,0.487,0.8495,0.9945,0.0,0.946
genuine,,2,0.05,0.0,none,,2,2,4,bar-cascade-001,0.4178,candidate,0.4178,1.0,0.4178,0.7961,0.8901,0.0,0.9485
genuine,,0,0.1,0.0,none,,2,1,3,bar-cascade-001,0.5192,candidate,0.5192,1.0,0.5192,0.9525,0.805,0.0,0.9216
genuine,,0,0.1,0.0,none,,2,2,4,bar-cascade-001,0.435,candidate,0.435,1.0,0.435,0.6667,0.9808,0.0,0.9662
genuine,,0,0.1,0.0,none,,1,2,3,bar-cascade-001,0.2873,not_recognised,0.2873,1.0,0.2873,0.6667,0.0,0.0,0.9624
genuine,,0,0.1,0.0,none,,2,0,2,bar-cascade-001,0.4927,candidate,0.4927,1.0,0.4927,0.8831,0.7188,0.0,0.9161
genuine,,0,0.1,0.0,none,,2,2,4,bar-cascade-001,0.3517,not_recognised,0.3517,1.0,0.3517,0.8305,0.0,0.0,0.9522
genuine,,0,0.1,0.0,none,,2,1,3,bar-cascade-001,0.3805,not_recognised,0.3805,1.0,0.3805,0.9525,0.0,0.0,0.9496
genuine,,0,0.1,0.0,none,,2,0,2,bar-cascade-001,0.4719,candidate,0.4719,1.0,0.4719,0.8831,0.5661,0.0,0.9574
genuine,,0,0.1,0.0,none,,2,0,2,bar-cascade-001,0.5145,candidate,0.5145,1.0,0.5145,0.8831,0.8634,0.0,0.8864
