arm,true_grammar,impostor_id,surface_seed,frac,rotation_deg,degradation,degradation_param,wb_gain_bgr,boundaries_spanned,top_sheet,top_aggregate,verdict_001,aggregate_001,coverage_001,renormalised_001,verdict_002,aggregate_002,coverage_002,renormalised_002,ink002_agreement,ink002_agr_absolute,ink002_agr_relationship,ink002_gain_b,ink002_gain_g,ink002_gain_r,ink002_implied_b,ink002_implied_g,ink002_implied_r,ink002_gain_in_bounds,ink002_relationship_applicable,ink002_n_inks,ink002_n_clipped,ink002_rank_corr
surface_001,bar-cascade-001,,0,0.05,0.0,none,,,1,bar-cascade-001,0.4412,candidate,0.4412,1.0,0.4412,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.05,0.0,none,,,1,bar-cascade-001,0.4469,candidate,0.4469,1.0,0.4469,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.05,0.0,none,,,1,bar-cascade-001,0.3404,not_recognised,0.3404,1.0,0.3404,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,3,0,-0.6667
surface_001,bar-cascade-001,,0,0.05,0.0,none,,,1,bar-cascade-001,0.4876,candidate,0.4876,1.0,0.4876,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.05,0.0,none,,,1,bar-cascade-001,0.4119,candidate,0.4119,1.0,0.4119,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.05,0.0,none,,,1,bar-cascade-001,0.2857,not_recognised,0.2857,1.0,0.2857,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.05,0.0,none,,,1,bar-cascade-001,0.4924,candidate,0.4924,1.0,0.4924,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.05,0.0,none,,,1,bar-cascade-001,0.3057,not_recognised,0.3057,1.0,0.3057,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,1,0.05,0.0,none,,,1,bar-cascade-001,0.3269,not_recognised,0.3269,1.0,0.3269,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,3,0,0.1667
surface_001,bar-cascade-001,,1,0.05,0.0,none,,,1,bar-cascade-001,0.4709,candidate,0.4709,1.0,0.4709,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,3,0,0.1667
surface_001,bar-cascade-001,,1,0.05,0.0,none,,,1,bar-cascade-001,0.1719,not_recognised,0.1719,0.4,0.4296,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
